GEOID,NAME,totalE,totalM,nativeE,nativeM,foreign_bornE,foreign_bornM
"24005400600","Census Tract 4006, Baltimore County, Maryland",2821,341,2660,337,161,121
"24005402302","Census Tract 4023.02, Baltimore County, Maryland",5573,462,4539,370,1034,345
"24005440200","Census Tract 4402, Baltimore County, Maryland",2394,247,2227,208,167,81
"24005420900","Census Tract 4209, Baltimore County, Maryland",3419,363,3351,369,68,60
"24005421101","Census Tract 4211.01, Baltimore County, Maryland",3072,256,2827,276,245,178
"24005421200","Census Tract 4212, Baltimore County, Maryland",1725,126,1699,130,26,26
"24005440900","Census Tract 4409, Baltimore County, Maryland",3794,292,2960,290,834,245
"24005441102","Census Tract 4411.02, Baltimore County, Maryland",4950,333,4557,334,393,138
"24005450503","Census Tract 4505.03, Baltimore County, Maryland",6067,600,5225,613,842,254
"24005450800","Census Tract 4508, Baltimore County, Maryland",3984,402,3738,424,246,141
"24005451900","Census Tract 4519, Baltimore County, Maryland",2464,202,2349,189,115,97
"24005490302","Census Tract 4903.02, Baltimore County, Maryland",4324,495,4170,514,154,78
"24005490400","Census Tract 4904, Baltimore County, Maryland",1790,117,1656,111,134,54
"24005490500","Census Tract 4905, Baltimore County, Maryland",3586,263,3230,215,356,181
"24005490603","Census Tract 4906.03, Baltimore County, Maryland",2219,194,2033,190,186,74
"24005490703","Census Tract 4907.03, Baltimore County, Maryland",3209,235,2842,257,367,108
"24005450100","Census Tract 4501, Baltimore County, Maryland",3827,339,3712,321,115,76
"24005450400","Census Tract 4504, Baltimore County, Maryland",2387,177,2278,181,109,42
"24005451600","Census Tract 4516, Baltimore County, Maryland",2098,153,2039,161,59,56
"24005490601","Census Tract 4906.01, Baltimore County, Maryland",2218,107,2067,105,151,63
"24005490900","Census Tract 4909, Baltimore County, Maryland",4453,405,3774,473,679,265
"24005491201","Census Tract 4912.01, Baltimore County, Maryland",1803,162,1682,158,121,68
"24005492001","Census Tract 4920.01, Baltimore County, Maryland",1513,127,1362,164,151,90
"24005492101","Census Tract 4921.01, Baltimore County, Maryland",3650,226,3365,211,285,126
"24510260800","Census Tract 2608, Baltimore city, Maryland",2485,366,1809,236,676,291
"24510270401","Census Tract 2704.01, Baltimore city, Maryland",6131,676,5975,712,156,163
"24510280401","Census Tract 2804.01, Baltimore city, Maryland",3666,323,3551,327,115,83
"24510270302","Census Tract 2703.02, Baltimore city, Maryland",1816,293,1678,265,138,96
"24510270702","Census Tract 2707.02, Baltimore city, Maryland",2075,376,1834,335,241,200
"24510270903","Census Tract 2709.03, Baltimore city, Maryland",4376,562,4040,498,336,195
"24510271101","Census Tract 2711.01, Baltimore city, Maryland",1846,154,1664,162,182,72
"24510271801","Census Tract 2718.01, Baltimore city, Maryland",3456,567,3200,612,256,184
"24510260201","Census Tract 2602.01, Baltimore city, Maryland",5432,821,3975,642,1457,726
"24510260401","Census Tract 2604.01, Baltimore city, Maryland",3302,418,2826,388,476,216
"24510270301","Census Tract 2703.01, Baltimore city, Maryland",3175,330,2944,297,231,117
"24510270802","Census Tract 2708.02, Baltimore city, Maryland",5941,674,5452,715,489,368
"24510270804","Census Tract 2708.04, Baltimore city, Maryland",3061,406,2770,391,291,232
"24510270805","Census Tract 2708.05, Baltimore city, Maryland",5260,388,5057,394,203,122
"24510271102","Census Tract 2711.02, Baltimore city, Maryland",4539,648,4297,653,242,82
"24510271802","Census Tract 2718.02, Baltimore city, Maryland",3019,412,2891,385,128,105
"24510280101","Census Tract 2801.01, Baltimore city, Maryland",4091,415,3688,448,403,200
"24510280402","Census Tract 2804.02, Baltimore city, Maryland",1912,258,1862,261,50,40
"24510280403","Census Tract 2804.03, Baltimore city, Maryland",5357,552,5191,580,166,102
"24510271300","Census Tract 2713, Baltimore city, Maryland",2839,202,2572,207,267,87
"24510250103","Census Tract 2501.03, Baltimore city, Maryland",3706,320,3514,327,192,107
"24510280102","Census Tract 2801.02, Baltimore city, Maryland",5663,815,5404,791,259,217
"24510190300","Census Tract 1903, Baltimore city, Maryland",2376,319,2157,294,219,107
"24510250102","Census Tract 2501.02, Baltimore city, Maryland",3040,326,2983,346,57,53
"24510250301","Census Tract 2503.01, Baltimore city, Maryland",2444,291,2436,291,8,9
"24510250401","Census Tract 2504.01, Baltimore city, Maryland",3576,469,3147,441,429,334
"24510080700","Census Tract 807, Baltimore city, Maryland",743,171,728,174,15,22
"24510130805","Census Tract 1308.05, Baltimore city, Maryland",934,119,899,119,35,29
"24510210100","Census Tract 2101, Baltimore city, Maryland",2211,395,2109,402,102,44
"24510270701","Census Tract 2707.01, Baltimore city, Maryland",2685,208,2227,222,458,183
"24510080600","Census Tract 806, Baltimore city, Maryland",2328,335,2292,343,36,47
"24510090400","Census Tract 904, Baltimore city, Maryland",1665,188,1606,179,59,57
"24510090700","Census Tract 907, Baltimore city, Maryland",3135,356,3084,373,51,56
"24510120300","Census Tract 1203, Baltimore city, Maryland",3580,334,3330,314,250,113
"24510120600","Census Tract 1206, Baltimore city, Maryland",2664,297,2276,253,388,170
"24510160600","Census Tract 1606, Baltimore city, Maryland",2595,396,2540,402,55,51
"24510240100","Census Tract 2401, Baltimore city, Maryland",3045,278,2899,313,146,82
"24510260605","Census Tract 2606.05, Baltimore city, Maryland",4311,516,3688,425,623,230
"24510271503","Census Tract 2715.03, Baltimore city, Maryland",913,82,848,84,65,33
"24510100200","Census Tract 1002, Baltimore city, Maryland",2855,375,2844,375,11,13
